Tipo;Marca;Serie
PC;HP;MXL5401X95
PC;HP;MXL5401T3V
Portátil;HP;5CD10625MO
Portátil;HP;5CD10623XW
Portátil;Lenovo;MP1QKYJC
Portátil;Lenovo;PF1K2T3M
PC;HP;MXL5401T8V
PC;HP;MXL5401T97
PC;HP;MXL5401T93
PC;Lenovo;MJ0A3ZYA
Portátil;Lenovo;MP1QL01M
Portátil;Lenovo;MP1QKXE9
Portátil;Lenovo;MP1QL29Q
PC;HP;MXL5401T9J
PC;HP;MXL5401T95
Portátil;Lenovo;MP1QHXMN
Portátil;Lenovo;MP1QHVMM
Portátil;HP;5CD9326XN7
Portátil;HP;5CD647787X
PC;HP;MXL4232TY8
PC;HP;MXL5401SR3
PC;HP;MXL5401T3X
PC;HP;MXL5401Q0J
Portátil;Lenovo;MP1QJ44Q
PC;HP;MXL5401TBY
PC;HP;MXL1500VB0
Portátil;Lenovo;PF1X3Z2Q
Portátil;HP;5CD6513ZKX
Portátil;Lenovo;MP1QKX72
Portátil;HP;5CD10625PL
Portátil;Lenovo;20CLA2WW00
Portátil;Lenovo;MP1QLFVL
PC;HP;MXL1500TTY
PC;HP;MXL1500TX0
Portátil;HP;5CD7504TLV
Portátil;HP;5CD9326XLY
Portátil;HP;5CD9326YHS
PC;HP;MXL0501NJ4
PC;HP;MXL4232RR7
PC;HP;MXL7071211
PC;HP;MXL1500TWN
PC;HP;MXJ826014C
PC;HP;MXL7520QTZ
PC;HP;MXL4232TLJ
PC;HP;MXL2451WLN
PC;HP;MXL90117F6
PC;HP;MXL4232TX7
PC;HP;MXL4232TLP
PC;HP;MXL24514RR
PC;HP;MXL5401T9X
PC;HP;MXL7520QYJ
PC;HP;MXL7520R1G
PC;HP;MXL4232LLD
PC;HP;MXJ8310152
PC;HP;MXL4232TKW
PC;HP;MXL5401TBC
Portátil;HP;5CD647788B
Portátil;HP;5CG1042VWJ
PC;HP;MXL4232TXP
PC;HP;MXL90114ML
Portátil;Lenovo;PF1WVFRD
PC;HP;MXL0501NGR
PC;HP;MXL24514SL
Portátil;Lenovo;PF1X3TA0
PC;HP;MXL0501NF4
PC;HP;MXL5401SQZ
PC;HP;MXL4232TXQ
PC;HP;MXL0501NJ3
PC;HP;MXL7520QW4
PC;HP;MXL1500V82
Portátil;HP;5CD647787L
PC;HP;MXL707124C
Portátil;HP;5CD9326XZS
Portátil;Lenovo;PF-1K2VG1
Portátil;HP;SCG1042WRL
Portátil;HP;5CG1042WLQ
PC;HP;MXL7520QXC
PC;HP;MXL4232TX8
PC;HP;MXJ82600Z5
PC;HP;MXL7520QZ1
Portátil;HP;5CD9326YJT
PC;HP;MXL1500TVQ
PC;HP;MXL0501NHL
PC;HP;MXL24514RQ
PC;HP;MXJ8290HW9
PC;HP;MXL7520QZF
PC;HP;MXL4232TL5
PC;HP;MXL5401X94
PC;HP;MXL7071234
Portátil;Lenovo;MP1QHT63
PC;HP;MXJ8290HZS
Portátil;Lenovo;PF1X3WQA
Portátil;HP;5CD106243S
PC;HP;MXL7520QX1
Portátil;HP;5CD64778BF
Portátil;Lenovo;MP1QKXEP
Portátil;Lenovo;PF1X55QX
Portátil;HP;5CD647785M
Portátil;Lenovo;PF1WVNJ5
PC;HP;MXL7520QWZ
Portátil;Lenovo;MP1QL084
PC;HP;MXL5401TBL
Portátil;Lenovo;PF1X2Y55
Portátil;Lenovo;MP1QHVMN
Portátil;HP;5CG1042VLL
Portátil;Lenovo;MP1QL247
PC;HP;MXJ93005LY
PC;HP;MXL7520R1F
Portátil;Lenovo;MP1QHT50
Portátil;Lenovo;MP1QLKSN
Portátil;HP;5CD6513ZLV
Portátil;HP;5CD10625ZV
Portátil;Lenovo;MP1QKX16
PC;HP;MXL5401T8Y
Portátil;Lenovo;MP1QLKVC
Portátil;HP;5CD10625V7
PC;HP;MXL4232TQ2
Portátil;Lenovo;PF1X3AM3
Portátil;Lenovo;MP1QHXV3
Portátil;Lenovo;MP1QKXQE
Portátil;Lenovo;PF1X5HRC
PC;HP;MLX4232RS5
Portátil;HP;5CD10624SL
Portátil;Lenovo;MP1QL08X
PC;HP;MXL707122L
PC;HP;MXL14919J5
Portátil;Lenovo;PF1KBCT0
Portátil;Lenovo;MP1QHZK4
Portátil;Lenovo;MP1QHSY6
Portátil;Lenovo;PF1X4A4V
Portátil;Lenovo;PF1X38DC
PC;HP;MXL707124J
Portátil;Lenovo;PF1WVQR3
Portátil;Lenovo;PF1X38EV
Portátil;Lenovo;MP1QJ418
Portátil;Lenovo;PF1X3Z10
Portátil;Lenovo;MP1QHXVW
Portátil;Lenovo;PF1X52BZ
Portátil;Lenovo;PF1X3JTR
PC;HP;MXL82916LJ
Portátil;Lenovo;MP1QHV5G
Portátil;Lenovo;MP1QL00T
Portátil;Lenovo;MP1QHV6L
Portátil;HP;5CD10625Q3
Portátil;Lenovo;MP1QKZ7G
Portátil;Lenovo;PF1X38F7
Portátil;Lenovo;MP1QLKVK
PC;HP;MXL707122S
PC;HP;MXL14919J6
Portátil;Lenovo;PF1WVJ2Z
Portátil;HP;5CD6477861
Portátil;Lenovo;MP1QHZJ9
Portátil;HP;5CD9326YGZ
PC;HP;MXL707123B
Portátil;Lenovo;MP1QHVTC
PC;HP;MXL707124G
Portátil;Lenovo;MP1QHVPD
Portátil;Lenovo;PF1X2SK4
PC;HP;MXL5401T9D
PC;HP;MXL7520QV7
Portátil;Lenovo;MP1QHW1V
Portátil;HP;5CD64778BM
Portátil;Lenovo;PF1X3NQF
Portátil;Lenovo;MP1QL1KY
Portátil;Lenovo;MP1QKZST
Portátil;Lenovo;MP1QKZE5
PC;HP;MXJ826013Z
PC;HP;MXL7520QVD
PC;HP;MXJ8290HZT
PC;Lenovo;MJ0BJW09
PC;HP;MXL707121X
PC;HP;MXL7071225
PC;HP;MXJ826010B
Portátil;Lenovo;MP1QL1VB
Portátil;Lenovo;MP1QKXHK
Portátil;Lenovo;PF1X57JC
Portátil;Lenovo;PF1X4CCL
Portátil;Lenovo;MP1QHXSJ
PC;HP;MXL5401TGN
PC;HP;MXL7520QXY
PC;HP;MXL707121J
PC;HP;MXL7071221
PC;HP;MXL5401X97
Portátil;Lenovo;PF1K2UVX
Portátil;Lenovo;MP1QLKTV
PC;HP;MXL2451WMV
Portátil;Lenovo;MP1QHVCF
PC;HP;MXL0501P19
Portátil;Lenovo;MP1QHXS3
Portátil;HP;5CD7504TPM
Portátil;HP;5CD10625KM
Portátil;Lenovo;PF1KBEEJ
Portátil;HP;5CD7504TKC
Portátil;Lenovo;PF1X2Q8C
Portátil;Lenovo;MP1QLDNG
Portátil;Lenovo;MP1QHVJ7
Portátil;Lenovo;PF1X5HP5
Portátil;Lenovo;MP1QKZ3E
PC;HP;MXL14919J1
PC;HP;MXL7520R1N
PC;HP;MXL7520OQZ1
PC;HP;MXL7520OQXC
Portátil;HP;5CD7504TMJ
PC;HP;MXL7520QWV
PC;HP;MXL1500VBG
Portátil;HP;5CD6513K4
Portátil;Lenovo;NO ESTA VISIBLE
PC;HP;MXL5401Q0G
Portátil;HP;5CD647785Y
Portátil;Lenovo;PF1WVFRD 
PC;HP;MXL4240MSD
PC;HP;MXL0501NH3
PC;HP;MXL5401TCF
PC;HP;MXL2451WLO
PC;HP;MXL8260109
Portátil;Lenovo;PF1WVE5P 2003
PC;HP;MXJ8290HZ6
PC;HP;MXL7071L2B
PC;HP;MXL7520QX3
Portátil;HP;5CD9326YCL
Portátil;HP;5CG1042VG4
PC;HP;MXL1500T44
PC;HP;MXL72205J0
PC;HP;MXJ8290HXX
PC;HP;MXL14914J4
PC;HP;MXL15003X6
Portátil;HP;5CG1042VF4
PC;HP;MXL4232TQX
Portátil;Lenovo;MP1QL1VQ
Portátil;HP;5CD7504THG
Portátil;HP;5CD9326XM2
Portátil;HP;5CD9326XS3
Portátil;HP;5CD9326XGS
Portátil;HP;5CD9326YGV
Portátil;HP;5CD9326YGB
Portátil;HP;5CG1042VCY
Portátil;HP;5CG1042WF9
Portátil;HP;5CG1042WRL
Portátil;HP;5CG1042V84
Portátil;HP;5CG1042W7Y
PC;HP;MXJ8290HYR
PC;HP;MXL5401X9G 
PC;HP;MXL7071246 
PC;HP;MXL7071243 
Portátil;Lenovo;LNVNB161216
Portátil;HP;5CD9326YJ9
PC;HP;SMXL0501NGS
Portátil;HP;5CD6513ZKD
PC;HP;MXL24514S9
Portátil;Lenovo;PF1X59CG
Portátil;Lenovo;MP1QL02D
PC;HP;MXL4232TXN 
PC;HP;MXL4232TL6 
Portátil;HP;5CD9326XNM
Portátil;HP;5CD9326XHY
Portátil;HP;5CD6513ZKV
Portátil;HP;5CD9326XFZ
Portátil;Lenovo;MP1QHVNZ
Portátil;HP;5CD9326XKL
Portátil;Lenovo;No Visible
PC;HP;MXL7520QY2
Portátil;HP;5CD9326XGP 
Portátil;Lenovo;MP1QHZA3
Portátil;Lenovo;MP1QHSHG
Portátil;Lenovo;MP1QJ18K
Portátil;Lenovo;PF1WVL7G
Portátil;HP;5CG1042WNV
Portátil;HP;5CG1042WS4
Portátil;HP;5CG1042VDN
Portátil;Lenovo;MP1QZZQT
PC;HP;mxl7071213
PC;HP;mxl5401tbk
Portátil;Lenovo;MP1QJ1V8
PC;HP;mxl707122w
PC;HP;mxl0501ng2
PC;HP;mxl4232txk
Portátil;Lenovo;MP1QKXM7
Portátil;HP;5CD10625VN
Portátil;Lenovo;1s20cla2ww00pc08jc3f
Portátil;Lenovo;MP1QKX08
PC;HP;MXL82G011Z
Portátil;Lenovo;MP1QHSTH
Portátil;Lenovo;PF1X5HGT
Portátil;Lenovo;PF1X4Q3F
PC;HP;MXL8290HWN
Portátil;HP;5CD9236XLY
Portátil;Lenovo;MP1QL2A3
Portátil;Lenovo;MP1QHWZK
Portátil;HP;5CG1042VMG
PC;HP;MXL0501NFH
PC;HP;MXL24514R9
PC;HP; MXL0501NHZ
PC;HP;MXL1500V9Y
PC;HP;MXJ72205J7
PC;HP;MXL8291CJ3 
Portátil;HP;5CD6477867
PC;HP;MXL7520QWF
PC;HP;MXL1500VBP
Portátil;HP;5CD75041MR
Portátil;Lenovo;MP1QHSQ9
PC;HP;MXJ93005JP
PC;HP;MXL1500TTD
PC;HP;MXL7520QVH
PC;HP;MXL4232TXD
PC;HP;MXL4232TLQ
PC;HP;MXL5401T4T
PC;HP;MXL2451WL9
PC;HP;MXL1500SY8
PC;HP; MXL1500V9L
PC;HP;MXL7071238
Portátil;HP;5CD6513ZN
PC;HP;MXL2451WP8
PC;HP;MXL10324GN
Portátil;HP;5CD6477882
Portátil;Lenovo;PC-08JC4C
Portátil;Lenovo;PC-08JC2W
Portátil;Lenovo;PC-08JC2L
PC;HP;MXL5401XB8
PC;HP;MXJ93005LR
Portátil;Lenovo;PC-08JC52
PC;HP;"	MXL7520R03"
Portátil;Lenovo;PF1X5K3R
PC;HP;MXL7520QZJ
Portátil;Lenovo;MXL0481SDS
PC;HP;MXL4232LLV
PC;HP;MXL4232RS0
PC;HP;MXL7520QWW
Portátil;Lenovo;MP1QL256
Portátil;Lenovo;MP1QHXTX
Portátil;Lenovo;MP1QKYJN
Portátil;Lenovo;MP1QHVX6
Portátil;Lenovo;MP1QL1ED
Portátil;Lenovo;MP1QL23S
Portátil;Lenovo;PF1X5499
Portátil;Lenovo;PF1X2N4D
Portátil;Lenovo;PF1X2SNC
Portátil;HP;5CG1042W7H
Portátil;HP;5CD10625VV
Portátil;HP;5CD1062428
Portátil;HP;5CD10625WD
Portátil;HP;5CD10625R7
Portátil;HP;5CD10625WN
Portátil;HP;5CD10625LB
Portátil;HP;5CD10625RT
Portátil;HP;5CG1042VMC
Portátil;HP;5CD106257B
Portátil;HP;5CD10624JX
Portátil;HP;5CD10625VD
Portátil;HP;5CD10625DX
Portátil;HP;5CD106252M
Portátil;HP;5CD10625Y8
Portátil;HP;5CD10625NN
Portátil;HP;5CD10625T5
Portátil;HP;5CD10625RW
Portátil;HP;5CD10624S1
Portátil;HP;5CD10625M7
Portátil;HP;5CD10625XH
Portátil;HP;5CD10625XD
Portátil;HP;5CD10625RZ
Portátil;HP;5CD106254K
Portátil;HP;5CD10625ZF
Portátil;HP;5CD106256N
Portátil;HP;5CD10625BB
Portátil;HP;5CD106258J
Portátil;HP;5CD106252J
Portátil;HP;5CD10625WG
Portátil;HP;5CD10625Q4
Portátil;HP;5CD1062548
Portátil;HP;5CD106256G
Portátil;HP;5CD10625YZ
Portátil;HP;5CD10624NC
Portátil;HP;5CG1042V6V
Portátil;HP;5CG1042WMF
Portátil;HP;5CG1042WRY
Portátil;HP;5CG1042V7W
Portátil;HP;5CG1042WS0
Portátil;HP;5CG1042WDG
Portátil;HP;5CD10625TJ
Portátil;HP;5CD1192DCC
Portátil;HP;5CD1192DDD
Portátil;HP;5CD1192DBX
Portátil;HP;5CD1192DMY
Portátil;HP;5CD119BB57
Portátil;HP;5CD119BCX7
Portátil;HP;5CD1192D9T
Portátil;HP;5CD1192D9H
Portátil;HP;5CD1192D6D
Portátil;HP;5CD1192D80
Portátil;HP;5CD1192D7W
Portátil;HP;5CD1192D8C
Portátil;HP;5CD1192D7M
Portátil;HP;5CD1192D6V
Portátil;HP;5CD1192D5W
Portátil;HP;5CD1192D6T
Portátil;HP;5CD1192D91
Portátil;HP;5CD1192D93
Portátil;HP;5CD1192DLV
Portátil;HP;5CD1192D6K
Portátil;HP;5CD1192DJV
Portátil;HP;5CD1192DKY
Portátil;HP;5CD1192DL5
Portátil;HP;5CD1192D7T
Portátil;HP;5CD1192DBY
Portátil;HP;5CD1192DM1
Portátil;HP;5CD1192DKK
Portátil;HP;5CD1192DC1
Portátil;HP;5CD1192D86
Portátil;HP;5CD1192D8W
Portátil;HP;5CD1192DBR
Portátil;HP;5CD1192DMC
Portátil;HP;5CD1192DBJ
Portátil;HP;5CD119BCTP
Portátil;HP;5CD119BCM2
Portátil;HP;5CD119BBP9
Portátil;HP;5CD1192DM4
Portátil;HP;5CD1192DN3
Portátil;HP;5CD1192D9Y
Portátil;HP;5CD1192DM5
Portátil;HP;5CD1192DJP
Portátil;HP;5CD1192DMG
Portátil;HP;5CD1192DBK
Portátil;HP;5CD1192D9G
Portátil;HP;5CD1192D72
Portátil;HP;5CD1192DB6
Portátil;HP;5CD1192D99
Portátil;HP;5CD1192DBP
Portátil;HP;5CD1192DL7
Portátil;HP;5CD1192D71
Portátil;HP;5CD1192DH3
Portátil;HP;5CD1192D6Z
Portátil;HP;5CD1192D9P
Portátil;HP;5CD1192DMD
Portátil;HP;5CD119BCR1
Portátil;HP;5CD1192DGT
Portátil;HP;5CD1192DNB
Portátil;HP;5CD119BCFX
Portátil;HP;5CD1192DFR
Portátil;HP;5CD1192D60
Portátil;HP;5CD1192DN6
Portátil;HP;5CD1192DN7
Portátil;HP;5CD1192DLG
Portátil;HP;5CD1192DN1
Portátil;HP;5CD1192D84
Portátil;HP;5CD1192DN5
Portátil;HP;5CD1192DBF
Portátil;HP;5CD1192D9S
Portátil;HP;5CD1192D8G
Portátil;HP;5CD1192D75
Portátil;HP;5CD1192D8S
Portátil;HP;5CD1192D7C
Portátil;HP;5CD119BBSP
Portátil;HP;5CD1192DCL
Portátil;HP;5CD1192DMS
